Name,Description,State,Main,Included,Category
OneLake Security Capacity Usage CU,,GA,FALSE,TRUE,Fabric CU
OneLake Storage Data Stored,,GA,FALSE,FALSE,OneLake
OneLake Write Operations Capacity Usage CU,Represents the OneLake Write via Redirect & Shortcut Write via Redirect transaction compute usage on your capacity,GA,FALSE,TRUE,Fabric CU
OneLake Write Operations via proxy Capacity Usage CU,,GA,FALSE,TRUE,Fabric CU
Power BI Capacity Usage CU,,GA,FALSE,TRUE,Fabric CU
Power BI Usage CU,Represents the Power BI usage on your capacity,GA,FALSE,TRUE,Fabric CU
Real-Time Intelligence - Event Listener & Alert,Represents Event Listener and Alerts for Real-Time Intelligence on your capacity,GA,FALSE,TRUE,Fabric CU
Real-Time Intelligence - Event Listener & Alert Capacity Usage CU,,GA,FALSE,TRUE,Fabric CU
Real-Time Intelligence - Event Operations,Represents Event Operations for Real-Time Intelligence on your capacity,GA,FALSE,TRUE,Fabric CU
Real-Time Intelligence - Event Operations Capacity Usage CU,,GA,FALSE,TRUE,OneLake
Spark Memory Optimized Capacity Usage CU,Represents the Spark usage on your capacity,GA,FALSE,TRUE,Fabric CU
SQL Backup Storage Data Stored,,GA,FALSE,FALSE,OneLake
SQL database in Microsoft Fabric,Represents SQL database in Microsoft Fabric on your capacity,GA,FALSE,TRUE,Fabric CU
SQL database in Microsoft Fabric Capacity Usage CU,,GA,FALSE,TRUE,Fabric CU
SQL Storage Data Stored,,GA,FALSE,FALSE,OneLake
SQL Storage Data Stored,,GA,FALSE,FALSE,OneLake
Storage Mirroring Data Stored,,GA,FALSE,FALSE,OneLake
Storage Mirroring Free Data Stored,,GA,FALSE,FALSE,OneLake
user data functions Capacity Usage CU,,GA,FALSE,FALSE,OneLake
VNet Data Gateway Capacity Usage CU,,GA,FALSE,FALSE,OneLake
